acct_id,dsply_nm,type,acct_stat,acct_rptng_crncy,prior_sar_count,branch_id,open_dt,close_dt,initial_deposit,tx_behavior_id,bank_id,first_name,last_name,street_addr,city,state,country,zip,gender,birth_date,ssn,lon,lat
69,C_69,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,129679.08,3,uae_bank,,,,,,US,,,,,,
70,C_70,SAV,A,USD,false,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,105453.92,3,uae_bank,,,,,,US,,,,,,
71,C_71,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,104815.09,3,uae_bank,,,,,,US,,,,,,
72,C_72,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,207065.56,3,uae_bank,,,,,,US,,,,,,
73,C_73,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,217598.25,3,uae_bank,,,,,,US,,,,,,
74,C_74,SAV,A,USD,false,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,174367.44,3,uae_bank,,,,,,US,,,,,,
75,C_75,SAV,A,USD,false,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,54133.26,4,ind_bank,,,,,,US,,,,,,
76,C_76,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,307889.49,4,ind_bank,,,,,,US,,,,,,
77,C_77,SAV,A,USD,false,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,353172.74,4,ind_bank,,,,,,US,,,,,,
78,C_78,SAV,A,USD,false,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,370884.79,4,ind_bank,,,,,,US,,,,,,
79,C_79,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,340134.88,4,ind_bank,,,,,,US,,,,,,
80,C_80,SAV,A,USD,false,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,361305.79,4,ind_bank,,,,,,US,,,,,,
81,C_81,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,370771.33,4,ind_bank,,,,,,US,,,,,,
82,C_82,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,225427.97,4,ind_bank,,,,,,US,,,,,,
83,C_83,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,168692.50,4,ind_bank,,,,,,US,,,,,,
84,C_84,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,288007.69,4,ind_bank,,,,,,US,,,,,,
85,C_85,SAV,A,USD,false,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,124740.97,4,ind_bank,,,,,,US,,,,,,
86,C_86,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,328418.91,4,ind_bank,,,,,,US,,,,,,
87,C_87,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,342804.67,4,ind_bank,,,,,,US,,,,,,
88,C_88,SAV,A,USD,false,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,360114.81,4,ind_bank,,,,,,US,,,,,,
89,C_89,SAV,A,USD,false,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,244124.45,4,ind_bank,,,,,,US,,,,,,
90,C_90,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,380910.65,4,ind_bank,,,,,,US,,,,,,
91,C_91,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,240284.10,4,ind_bank,,,,,,US,,,,,,
92,C_92,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,191213.98,4,ind_bank,,,,,,US,,,,,,
93,C_93,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,270893.24,4,ind_bank,,,,,,US,,,,,,
94,C_94,SAV,A,USD,false,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,398577.98,4,ind_bank,,,,,,US,,,,,,
95,C_95,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,368437.66,4,ind_bank,,,,,,US,,,,,,
96,C_96,SAV,A,USD,false,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,321463.53,4,ind_bank,,,,,,US,,,,,,
97,C_97,SAV,A,USD,false,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,51301.74,4,ind_bank,,,,,,US,,,,,,
98,C_98,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,252857.58,4,ind_bank,,,,,,US,,,,,,
99,C_99,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,204848.80,4,ind_bank,,,,,,US,,,,,,
